GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Quick Start Archetype,Exceptions,SheduleRefereeFailed,4,0,0,0,2,0,1,0,1,0
Maven Quick Start Archetype,Exceptions,ImportDataException,4,0,0,0,2,0,1,0,1,0
Maven Quick Start Archetype,Exceptions,ObjectIDNotExistException,4,0,0,0,2,0,1,0,1,0
Maven Quick Start Archetype,Exceptions,WrongUserNameException,0,4,0,0,0,2,0,1,0,1
Maven Quick Start Archetype,Exceptions,WrongPasswordException,0,4,0,0,0,2,0,1,0,1
Maven Quick Start Archetype,Service,ServiceController,32,123,1,5,13,20,3,5,2,3
Maven Quick Start Archetype,Service,Status,15,0,0,0,2,0,1,0,1,0
Maven Quick Start Archetype,Service,RefereeStatus,9,0,0,0,2,0,1,0,1,0
Maven Quick Start Archetype,Domain,GamePlacementPolicy2,23,0,0,0,6,0,2,0,2,0
Maven Quick Start Archetype,Domain,GamePlacementPolicy1,3,0,0,0,1,0,1,0,1,0
Maven Quick Start Archetype,Domain,Main,15,0,0,0,7,0,3,0,3,0
Maven Quick Start Archetype,Domain,League,48,0,0,0,16,0,10,0,10,0
Maven Quick Start Archetype,Domain,UserStatus,0,21,0,0,0,2,0,1,0,1
Maven Quick Start Archetype,Domain,Referee,69,0,0,0,15,0,8,0,8,0
Maven Quick Start Archetype,Domain,UnionRep,27,0,0,0,5,0,2,0,2,0
Maven Quick Start Archetype,Domain,Team,31,0,0,0,10,0,5,0,5,0
Maven Quick Start Archetype,Domain,GamePlacementPolicy,8,0,0,0,3,0,2,0,2,0
Maven Quick Start Archetype,Domain,ScoringCalculationPolicy2,3,0,0,0,1,0,1,0,1,0
Maven Quick Start Archetype,Domain,Court,32,0,0,0,8,0,3,0,3,0
Maven Quick Start Archetype,Domain,ScoringCalculationPolicy1,3,0,0,0,1,0,1,0,1,0
Maven Quick Start Archetype,Domain,DomainController,63,15,2,0,19,5,5,2,4,2
Maven Quick Start Archetype,Domain,Policy,22,0,0,0,4,0,1,0,1,0
Maven Quick Start Archetype,Domain,Season,43,0,0,0,18,0,9,0,9,0
Maven Quick Start Archetype,Domain,ScoringCalculationPolicy,3,0,0,0,1,0,1,0,1,0
Maven Quick Start Archetype,Domain,Game,129,0,3,0,44,0,24,0,22,0
Maven Quick Start Archetype,Domain,SignedUser,9,0,0,0,4,0,1,0,1,0
Maven Quick Start Archetype,DataAccess,DBConnector,10,28,1,1,4,12,1,4,0,4
Maven Quick Start Archetype,DataAccess,DAController,640,71,16,4,157,21,15,6,7,4
